sample	from	to	cn	type
DO1007	64	65	1	reference
DO1007	468	65	1	loose
DO1007	65	66	1	reference
DO1007	66	67	1	reference
DO1007	70	67	1	aberrant
DO1007	67	68	2	reference
DO1007	318	68	0	aberrant
DO1007	68	69	2	reference
DO1007	69	70	2	reference
DO1007	88	70	0	aberrant
DO1007	70	71	1	reference
DO1007	71	72	1	reference
DO1007	322	72	1	aberrant
DO1007	72	73	1	reference
DO1007	72	74	1	aberrant
DO1007	73	74	1	reference
DO1007	74	75	2	reference
DO1007	75	75	0	aberrant
DO1007	75	76	2	reference
DO1007	76	77	1	reference
DO1007	77	78	1	reference
DO1007	78	79	1	reference
DO1007	79	80	1	reference
DO1007	294	80	0	aberrant
DO1007	24	81	1	aberrant
DO1007	80	81	1	reference
DO1007	81	82	1	reference
DO1007	61	83	1	aberrant
DO1007	82	83	1	reference
DO1007	83	84	1	reference
DO1007	65	85	1	aberrant
DO1007	84	85	1	reference
DO1007	85	86	1	reference
DO1007	86	87	1	reference
DO1007	299	87	0	aberrant
DO1007	87	88	1	reference
DO1007	255	88	1	aberrant
DO1007	88	89	2	reference
DO1007	89	90	1	reference
DO1007	90	91	1	reference
DO1007	303	91	1	aberrant
DO1007	92	93	1	reference
DO1007	215	93	0	aberrant
DO1007	93	94	1	reference
DO1007	95	96	1	reference
DO1007	96	96	0	aberrant
DO1007	96	97	1	reference
DO1007	57	99	0	aberrant
DO1007	98	99	2	reference
DO1007	99	100	2	reference
DO1007	100	101	2	reference
DO1007	339	101	0	aberrant
DO1007	101	102	2	reference
DO1007	102	103	2	reference
DO1007	103	104	2	reference
DO1007	104	105	2	reference
DO1007	106	105	0	aberrant
DO1007	105	106	2	reference
DO1007	106	107	2	reference
DO1007	107	108	2	reference
DO1007	332	108	0	aberrant
DO1007	108	109	2	reference
DO1007	109	110	2	reference
DO1007	139	110	0	aberrant
DO1007	110	111	2	reference
DO1007	111	112	2	reference
DO1007	112	113	2	reference
DO1007	145	113	0	aberrant
DO1007	113	114	2	reference
DO1007	114	115	2	reference
DO1007	115	116	2	reference
DO1007	359	116	0	aberrant
DO1007	116	117	2	reference
DO1007	129	117	0	aberrant
DO1007	117	118	2	reference
DO1007	118	119	2	reference
DO1007	366	119	0	aberrant
DO1007	117	120	0	aberrant
DO1007	119	120	2	reference
DO1007	120	121	2	reference
DO1007	121	122	2	reference
DO1007	421	122	0	aberrant
DO1007	122	123	2	reference
DO1007	123	124	2	reference
DO1007	124	125	2	reference
DO1007	125	126	2	reference
DO1007	237	126	0	aberrant
DO1007	126	127	2	reference
DO1007	127	128	2	reference
DO1007	347	128	0	aberrant
DO1007	128	129	2	reference
DO1007	129	130	2	reference
DO1007	130	131	2	reference
DO1007	165	131	0	aberrant
DO1007	131	132	2	reference
DO1007	132	133	2	reference
DO1007	384	133	0	aberrant
DO1007	133	134	2	reference
DO1007	134	135	2	reference
DO1007	350	135	0	aberrant
DO1007	135	136	2	reference
DO1007	136	137	2	reference
DO1007	404	137	0	aberrant
DO1007	137	138	2	reference
DO1007	138	139	2	reference
DO1007	191	139	0	aberrant
DO1007	139	140	2	reference
DO1007	140	141	2	reference
DO1007	143	141	0	aberrant
DO1007	141	142	2	reference
DO1007	142	143	2	reference
DO1007	180	143	0	aberrant
DO1007	143	144	2	reference
DO1007	135	145	0	aberrant
DO1007	144	145	2	reference
DO1007	145	146	2	reference
DO1007	141	147	0	aberrant
DO1007	146	147	2	reference
DO1007	147	148	2	reference
DO1007	148	149	2	reference
DO1007	169	149	0	aberrant
DO1007	149	150	2	reference
DO1007	110	151	0	aberrant
DO1007	150	151	2	reference
DO1007	151	152	2	reference
DO1007	152	153	2	reference
DO1007	364	153	0	aberrant
DO1007	153	154	2	reference
DO1007	154	155	2	reference
DO1007	392	155	0	aberrant
DO1007	155	156	2	reference
DO1007	156	157	2	reference
DO1007	157	158	2	reference
DO1007	176	158	0	aberrant
DO1007	158	159	2	reference
DO1007	163	159	0	aberrant
DO1007	159	160	2	reference
DO1007	160	161	2	reference
DO1007	386	161	0	aberrant
DO1007	161	162	2	reference
DO1007	131	163	0	aberrant
DO1007	162	163	2	reference
DO1007	163	164	2	reference
DO1007	164	165	2	reference
DO1007	165	166	2	reference
DO1007	166	167	2	reference
DO1007	422	167	0	aberrant
DO1007	167	168	2	reference
DO1007	161	169	0	aberrant
DO1007	168	169	2	reference
DO1007	169	170	2	reference
DO1007	170	171	2	reference
DO1007	182	171	0	aberrant
DO1007	171	172	2	reference
DO1007	172	173	2	reference
DO1007	368	173	0	aberrant
DO1007	171	174	0	aberrant
DO1007	173	174	2	reference
DO1007	174	175	2	reference
DO1007	175	176	2	reference
DO1007	176	177	2	reference
DO1007	151	178	0	aberrant
DO1007	177	178	2	reference
DO1007	178	179	2	reference
DO1007	167	180	0	aberrant
DO1007	179	180	2	reference
DO1007	180	181	2	reference
DO1007	113	182	0	aberrant
DO1007	181	182	2	reference
DO1007	182	183	2	reference
DO1007	137	184	0	aberrant
DO1007	183	184	2	reference
DO1007	184	185	2	reference
DO1007	185	186	2	reference
DO1007	174	187	0	aberrant
DO1007	186	187	2	reference
DO1007	187	188	2	reference
DO1007	153	189	0	aberrant
DO1007	188	189	2	reference
DO1007	189	190	2	reference
DO1007	353	190	0	aberrant
DO1007	190	191	2	reference
DO1007	398	191	0	aberrant
DO1007	191	192	2	reference
DO1007	192	193	2	reference
DO1007	193	194	2	reference
DO1007	193	195	0	aberrant
DO1007	194	195	2	reference
DO1007	195	196	2	reference
DO1007	198	196	0	aberrant
DO1007	196	197	2	reference
DO1007	197	198	2	reference
DO1007	234	198	0	aberrant
DO1007	198	199	2	reference
DO1007	200	201	1	reference
DO1007	201	202	1	reference
DO1007	279	202	0	aberrant
DO1007	202	203	1	reference
DO1007	203	204	1	reference
DO1007	202	205	0	aberrant
DO1007	204	205	1	reference
DO1007	205	206	1	reference
DO1007	43	207	1	aberrant
DO1007	206	207	1	reference
DO1007	207	208	1	reference
DO1007	46	209	0	aberrant
DO1007	208	209	1	reference
DO1007	209	210	1	reference
DO1007	102	211	0	aberrant
DO1007	210	211	1	reference
DO1007	212	213	2	reference
DO1007	246	213	0	aberrant
DO1007	93	215	0	aberrant
DO1007	214	215	2	reference
DO1007	215	216	2	reference
DO1007	217	218	1	reference
DO1007	218	219	1	reference
DO1007	469	219	1	loose
DO1007	219	220	1	reference
DO1007	220	221	1	reference
DO1007	108	222	0	aberrant
DO1007	221	222	1	reference
DO1007	196	232	0	aberrant
DO1007	233	232	1	reference
DO1007	234	233	1	reference
DO1007	235	234	1	reference
DO1007	10	235	0	aberrant
DO1007	236	235	1	reference
DO1007	237	236	1	reference
DO1007	238	237	1	reference
DO1007	239	238	1	reference
DO1007	240	239	1	reference
DO1007	241	239	0	aberrant
DO1007	241	240	1	reference
DO1007	4	241	0	aberrant
DO1007	242	241	1	reference
DO1007	243	242	1	reference
DO1007	13	243	0	aberrant
DO1007	244	243	1	reference
DO1007	12	244	0	aberrant
DO1007	245	244	1	reference
DO1007	246	245	1	reference
DO1007	247	246	1	reference
DO1007	248	247	1	reference
DO1007	249	248	2	reference
DO1007	251	250	1	reference
DO1007	290	250	0	aberrant
DO1007	253	252	1	reference
DO1007	77	253	0	aberrant
DO1007	254	253	1	reference
DO1007	255	254	1	reference
DO1007	256	255	1	reference
DO1007	312	255	1	aberrant
DO1007	258	257	1	reference
DO1007	259	258	2	reference
DO1007	260	258	0	aberrant
DO1007	260	259	2	reference
DO1007	261	260	2	reference
DO1007	262	261	1	reference
DO1007	273	261	1	aberrant
DO1007	263	262	1	reference
DO1007	267	262	0	aberrant
DO1007	264	263	1	reference
DO1007	265	264	1	reference
DO1007	258	265	1	aberrant
DO1007	266	265	1	reference
DO1007	267	266	1	reference
DO1007	268	267	1	reference
DO1007	203	268	0	aberrant
DO1007	269	268	1	reference
DO1007	270	269	1	reference
DO1007	271	270	0	reference
DO1007	470	270	1	loose
DO1007	272	271	1	reference
DO1007	273	272	1	reference
DO1007	274	273	2	reference
DO1007	276	273	0	aberrant
DO1007	275	274	1	reference
DO1007	438	274	1	aberrant
DO1007	276	275	1	reference
DO1007	277	276	1	reference
DO1007	278	277	1	reference
DO1007	440	277	0	aberrant
DO1007	279	278	1	reference
DO1007	280	279	1	reference
DO1007	282	281	1	reference
DO1007	56	282	0	aberrant
DO1007	283	282	1	reference
DO1007	284	283	1	reference
DO1007	238	284	0	aberrant
DO1007	285	284	1	reference
DO1007	103	285	0	aberrant
DO1007	286	285	1	reference
DO1007	51	287	0	aberrant
DO1007	288	287	1	reference
DO1007	289	288	1	reference
DO1007	330	288	0	aberrant
DO1007	290	289	1	reference
DO1007	292	291	1	reference
DO1007	293	292	1	reference
DO1007	314	292	1	aberrant
DO1007	294	293	1	reference
DO1007	68	294	0	aberrant
DO1007	295	294	1	reference
DO1007	296	295	1	reference
DO1007	297	296	1	reference
DO1007	316	296	1	aberrant
DO1007	298	297	1	reference
DO1007	299	298	2	reference
DO1007	63	299	0	aberrant
DO1007	300	299	2	reference
DO1007	301	300	2	reference
DO1007	298	301	1	aberrant
DO1007	302	301	1	reference
DO1007	303	302	1	reference
DO1007	304	303	1	reference
DO1007	305	303	1	aberrant
DO1007	305	304	1	reference
DO1007	306	305	2	reference
DO1007	306	306	0	aberrant
DO1007	307	306	2	reference
DO1007	85	307	1	aberrant
DO1007	308	307	1	reference
DO1007	22	308	0	aberrant
DO1007	309	308	1	reference
DO1007	253	309	0	aberrant
DO1007	310	309	1	reference
DO1007	311	310	1	reference
DO1007	312	311	1	reference
DO1007	83	312	1	aberrant
DO1007	313	312	1	reference
DO1007	314	313	1	reference
DO1007	81	314	1	aberrant
DO1007	315	314	1	reference
DO1007	316	315	1	reference
DO1007	76	316	1	aberrant
DO1007	317	316	1	reference
DO1007	318	317	1	reference
DO1007	319	318	1	reference
DO1007	301	319	0	aberrant
DO1007	320	319	2	reference
DO1007	292	320	1	aberrant
DO1007	321	320	1	reference
DO1007	322	321	1	reference
DO1007	324	323	1	reference
DO1007	325	324	1	reference
DO1007	446	324	0	aberrant
DO1007	327	326	1	reference
DO1007	327	327	0	aberrant
DO1007	328	327	1	reference
DO1007	330	329	2	reference
DO1007	284	330	0	aberrant
DO1007	331	330	2	reference
DO1007	332	331	2	reference
DO1007	282	332	0	aberrant
DO1007	333	332	2	reference
DO1007	334	333	2	reference
DO1007	442	333	0	aberrant
DO1007	54	334	0	aberrant
DO1007	335	334	2	reference
DO1007	336	335	2	reference
DO1007	220	336	0	aberrant
DO1007	337	336	2	reference
DO1007	336	337	0	aberrant
DO1007	338	337	2	reference
DO1007	339	338	2	reference
DO1007	340	339	2	reference
DO1007	453	339	0	aberrant
DO1007	341	340	2	reference
DO1007	342	341	2	reference
DO1007	382	341	0	aberrant
DO1007	133	342	0	aberrant
DO1007	343	342	2	reference
DO1007	344	343	2	reference
DO1007	345	344	2	reference
DO1007	413	344	0	aberrant
DO1007	175	345	0	aberrant
DO1007	346	345	2	reference
DO1007	347	346	2	reference
DO1007	348	347	2	reference
DO1007	349	348	2	reference
DO1007	351	348	0	aberrant
DO1007	350	349	2	reference
DO1007	351	350	2	reference
DO1007	149	351	0	aberrant
DO1007	352	351	2	reference
DO1007	353	352	2	reference
DO1007	159	353	0	aberrant
DO1007	354	353	2	reference
DO1007	156	354	0	aberrant
DO1007	355	354	2	reference
DO1007	164	355	0	aberrant
DO1007	356	355	2	reference
DO1007	357	356	2	reference
DO1007	185	357	0	aberrant
DO1007	358	357	2	reference
DO1007	359	358	2	reference
DO1007	249	359	0	aberrant
DO1007	360	359	2	reference
DO1007	348	360	0	aberrant
DO1007	361	360	2	reference
DO1007	362	361	2	reference
DO1007	363	362	2	reference
DO1007	394	362	0	aberrant
DO1007	364	363	2	reference
DO1007	111	364	0	aberrant
DO1007	365	364	2	reference
DO1007	366	365	2	reference
DO1007	367	366	2	reference
DO1007	376	366	0	aberrant
DO1007	368	367	2	reference
DO1007	369	368	2	reference
DO1007	415	368	0	aberrant
DO1007	370	369	2	reference
DO1007	341	370	0	aberrant
DO1007	371	370	2	reference
DO1007	372	371	2	reference
DO1007	373	372	2	reference
DO1007	378	372	0	aberrant
DO1007	374	373	2	reference
DO1007	372	374	0	aberrant
DO1007	375	374	2	reference
DO1007	376	375	2	reference
DO1007	344	376	0	aberrant
DO1007	377	376	2	reference
DO1007	378	377	2	reference
DO1007	187	378	0	aberrant
DO1007	379	378	2	reference
DO1007	380	379	2	reference
DO1007	120	380	0	aberrant
DO1007	381	380	2	reference
DO1007	382	381	2	reference
DO1007	383	382	2	reference
DO1007	409	382	0	aberrant
DO1007	384	383	2	reference
DO1007	385	384	2	reference
DO1007	420	384	0	aberrant
DO1007	386	385	2	reference
DO1007	178	386	0	aberrant
DO1007	387	386	2	reference
DO1007	123	387	0	aberrant
DO1007	388	387	2	reference
DO1007	389	388	2	reference
DO1007	390	389	2	reference
DO1007	122	390	0	aberrant
DO1007	391	390	2	reference
DO1007	392	391	2	reference
DO1007	393	392	2	reference
DO1007	400	392	0	aberrant
DO1007	394	393	2	reference
DO1007	390	394	0	aberrant
DO1007	395	394	2	reference
DO1007	124	395	0	aberrant
DO1007	396	395	2	reference
DO1007	362	396	0	aberrant
DO1007	397	396	2	reference
DO1007	398	397	2	reference
DO1007	399	398	2	reference
DO1007	411	398	0	aberrant
DO1007	400	399	2	reference
DO1007	380	400	0	aberrant
DO1007	401	400	2	reference
DO1007	402	401	2	reference
DO1007	403	402	2	reference
DO1007	405	402	0	aberrant
DO1007	404	403	2	reference
DO1007	405	404	2	reference
DO1007	406	405	2	reference
DO1007	418	405	0	aberrant
DO1007	114	406	0	aberrant
DO1007	407	406	2	reference
DO1007	389	407	0	aberrant
DO1007	408	407	2	reference
DO1007	409	408	2	reference
DO1007	155	409	0	aberrant
DO1007	410	409	2	reference
DO1007	411	410	2	reference
DO1007	374	411	0	aberrant
DO1007	412	411	2	reference
DO1007	413	412	2	reference
DO1007	402	413	0	aberrant
DO1007	414	413	2	reference
DO1007	415	414	2	reference
DO1007	192	415	0	aberrant
DO1007	416	415	2	reference
DO1007	126	416	0	aberrant
DO1007	417	416	2	reference
DO1007	418	417	2	reference
DO1007	147	418	0	aberrant
DO1007	419	418	2	reference
DO1007	420	419	2	reference
DO1007	421	420	2	reference
DO1007	422	421	2	reference
DO1007	370	422	0	aberrant
DO1007	423	422	2	reference
DO1007	184	423	0	aberrant
DO1007	424	423	2	reference
DO1007	425	424	2	reference
DO1007	426	424	0	aberrant
DO1007	426	425	2	reference
DO1007	427	426	2	reference
DO1007	1	427	0	aberrant
DO1007	428	427	2	reference
DO1007	429	428	2	reference
DO1007	427	429	0	aberrant
DO1007	430	429	2	reference
DO1007	271	431	1	aberrant
DO1007	432	431	1	reference
DO1007	433	432	1	reference
DO1007	434	433	1	reference
DO1007	436	433	0	aberrant
DO1007	37	434	0	aberrant
DO1007	435	434	1	reference
DO1007	436	435	1	reference
DO1007	277	436	0	aberrant
DO1007	437	436	1	reference
DO1007	438	437	1	reference
DO1007	280	438	1	aberrant
DO1007	439	438	1	reference
DO1007	440	439	1	reference
DO1007	270	440	0	aberrant
DO1007	441	440	1	reference
DO1007	442	441	1	reference
DO1007	444	443	2	reference
DO1007	446	445	2	reference
DO1007	324	446	0	aberrant
DO1007	447	446	2	reference
DO1007	449	448	1	reference
DO1007	471	448	1	loose
DO1007	450	449	1	reference
DO1007	451	450	1	reference
DO1007	472	450	1	loose
DO1007	105	451	0	aberrant
DO1007	452	451	1	reference
DO1007	453	452	1	reference
DO1007	39	463	1	loose
DO1007	217	464	1	loose
DO1007	219	465	1	loose
DO1007	248	473	1	loose
DO1007	265	474	1	loose
DO1007	296	475	1	loose
DO1007	450	476	1	loose
